"sim_set_num","M_i","rho_c_i","u22_i","rho_r_i","n_i","dist_i","true_value","point_est","mean_range","coverage","mean_abs_bias","rmse"
49,2,1,1,3,1,1,0.717157287525381,0.663000622460354,0.152996364945075,0.623,0.0578987539391875,0.067877754188857
50,2,1,1,3,1,2,0.717157287525381,0.643578463436958,0.158203160408837,0.52,0.0743626022543413,0.0856742196311842
51,2,1,1,3,2,1,0.717157287525381,0.698792821606167,0.0941279649456661,0.836,0.0243292225425248,0.030098424783801
52,2,1,1,3,2,2,0.717157287525381,0.673887944010136,0.0964423812973178,0.56,0.0436296282392446,0.0501717412166967
53,2,1,1,3,3,1,0.717157287525381,0.708061498206112,0.0665197648065739,0.891,0.0152718878535977,0.0193029840722149
54,2,1,1,3,3,2,0.717157287525381,0.683110485784014,0.0664783079301027,0.45,0.0341863280605601,0.0379174443242941
55,2,2,1,1,1,1,7.7715611723761e-16,-0.0597761236678371,0.445537312096995,0.953,0.0873651393118622,0.108007538354999
56,2,2,1,1,1,2,7.7715611723761e-16,-0.0336329670128546,0.439227420641039,0.966,0.0789164152872978,0.0980093694345432
57,2,2,1,1,2,1,7.7715611723761e-16,-0.0219571696798146,0.239937824270636,0.948,0.0495863679757806,0.0616274861350097
58,2,2,1,1,2,2,7.7715611723761e-16,0.000805557755231179,0.241757258826967,0.958,0.0455882101280247,0.0570678459298753
59,2,2,1,1,3,1,7.7715611723761e-16,-0.0103950486014319,0.163804045569048,0.948,0.0336240073706141,0.0416366102760186
60,2,2,1,1,3,2,7.7715611723761e-16,0.0134219000366856,0.164516861905165,0.947,0.0327598502822874,0.0408472361639644
61,2,2,1,2,1,1,0.400270837304784,0.311665481709064,0.363636324364398,0.879,0.0945483196017182,0.117171579799322
62,2,2,1,2,1,2,0.400270837304784,0.316121510472898,0.358328483540071,0.89,0.0926583805194402,0.114170379159855
63,2,2,1,2,2,1,0.400270837304784,0.366037594907234,0.177118388079196,0.909,0.0427708390360316,0.0541096996339266
64,2,2,1,2,2,2,0.400270837304784,0.367769500117947,0.180365080384978,0.924,0.0418294419607794,0.0534486228649927
65,2,2,1,2,3,1,0.400270837304784,0.382707876701277,0.114180265990387,0.926,0.0256561646934635,0.0325644607769936
66,2,2,1,2,3,2,0.400270837304784,0.385863332669546,0.115933570314611,0.953,0.02410062801452,0.030731712154683
67,2,2,1,3,1,1,0.627601617141594,0.595077110913829,0.181751636086366,0.933,0.035486843348029,0.0421336095638312
68,2,2,1,3,1,2,0.627601617141594,0.584277325053381,0.185364996347116,0.89,0.0443766341743291,0.0514196111277406
69,2,2,1,3,2,1,0.627601617141594,0.616313875725936,0.106677746505419,0.983,0.0157306101639486,0.0191786925125697
70,2,2,1,3,2,2,0.627601617141594,0.604343020673727,0.10699879820842,0.955,0.0238128592211639,0.0277385093149194
71,2,2,1,3,3,1,0.627601617141594,0.622313646733317,0.0734523158298655,0.995,0.00940991011368181,0.0117319417633077
72,2,2,1,3,3,2,0.627601617141594,0.6101936890731,0.0736827962133681,0.947,0.0177756975669681,0.0201799364403093
