"sim_set_num","M_i","rho_c_i","u22_i","rho_r_i","n_i","dist_i","true_value","point_est","mean_range","coverage","mean_abs_bias","rmse"
26,1,2,1,2,1,2,0.5,0.456683142958333,0.532608747608671,0.89,0.128040059695005,0.162427031711387
27,1,2,1,2,2,1,0.5,0.486249756798175,0.364918539841717,0.945,0.0752366270327059,0.095795539366222
28,1,2,1,2,2,2,0.5,0.464329328718783,0.371692754542992,0.916,0.0844144682965652,0.107817182634455
29,1,2,1,2,3,1,0.5,0.492051362862573,0.264872322770044,0.934,0.0563387818654958,0.0716847589188951
30,1,2,1,2,3,2,0.5,0.472159534029683,0.271432659148065,0.927,0.0597731110049769,0.0749083792466223
31,1,2,1,3,1,1,0.9,0.886575383735137,0.160923566139308,0.887,0.0354710090454942,0.0512966952494302
32,1,2,1,3,1,2,0.9,0.884434702390691,0.165613973703675,0.898,0.0355273356472516,0.0478231707301892
33,1,2,1,3,2,1,0.9,0.894603662871582,0.0999991469624315,0.94,0.020342151869231,0.0262536869816535
34,1,2,1,3,2,2,0.9,0.889972193444805,0.103833850940576,0.923,0.0222340891999015,0.0294466914533305
35,1,2,1,3,3,1,0.9,0.897322591089434,0.0697777964403921,0.93,0.0145053518348452,0.0186213680698404
36,1,2,1,3,3,2,0.9,0.893158509669185,0.072585553058896,0.936,0.0152545213640116,0.0194721303987973
37,2,1,1,1,1,1,0,0.000113592364393457,0.28249874996894,0.923,0.062420308003227,0.0788503957940752
38,2,1,1,1,1,2,0,0.038226249919268,0.296310851322469,0.881,0.0738553912567967,0.091189159429363
39,2,1,1,1,2,1,0,-0.000608955805461404,0.190008873054535,0.934,0.0410040351205615,0.0507213106097239
40,2,1,1,1,2,2,0,0.0323143915282489,0.198082194322763,0.897,0.0499476655072388,0.0609321808516453
41,2,1,1,1,3,1,0,-0.000158541146001506,0.137658552787898,0.944,0.029165147147156,0.036238071128266
42,2,1,1,1,3,2,0,0.0318447421525815,0.142728308271263,0.846,0.0392420110048325,0.0479452336346943
43,2,1,1,2,1,1,0.4,0.383150594712777,0.250757346850417,0.921,0.0566880253758815,0.0712374389588795
44,2,1,1,2,1,2,0.4,0.393092138270507,0.25072426027334,0.931,0.05591666728971,0.0687599314941655
45,2,1,1,2,2,1,0.4,0.393065072593045,0.165199851390129,0.924,0.034437333220488,0.0439349123054349
46,2,1,1,2,2,2,0.4,0.396241881235426,0.165069251386474,0.934,0.0344206272914778,0.0430490905973292
47,2,1,1,2,3,1,0.4,0.396350576477213,0.118376298809702,0.936,0.0243873360779054,0.031020200951984
48,2,1,1,2,3,2,0.4,0.398389848756466,0.118087441779917,0.948,0.0241878042716886,0.0302803091015337
49,2,1,1,3,1,1,0.72,0.705273746931393,0.141242034418031,0.903,0.0319889279995624,0.0403610820519545
50,2,1,1,3,1,2,0.72,0.701081634176376,0.14911762619971,0.892,0.035172298078868,0.0441378923397737
51,2,1,1,3,2,1,0.72,0.714167565328876,0.0902904793651007,0.923,0.0188003897020408,0.0240344068547304
52,2,1,1,3,2,2,0.72,0.707100536963506,0.0959991473186925,0.901,0.0226034842294822,0.0283297240298837
53,2,1,1,3,3,1,0.72,0.716825350877659,0.0638880383307244,0.921,0.0132126115751667,0.0171238326073967
54,2,1,1,3,3,2,0.72,0.709534823907709,0.067953643482631,0.893,0.0166401303674956,0.0208429006970181
55,2,2,1,1,1,1,0,0.00487357507393581,0.534966281189589,0.912,0.121109401223876,0.153094929465032
56,2,2,1,1,1,2,0,-0.0227128282708024,0.533456251244266,0.91,0.127863048706253,0.15841277322605
57,2,2,1,1,2,1,0,-0.00235279305583002,0.379955000674459,0.941,0.0774777056941425,0.0970791088772951
58,2,2,1,1,2,2,0,-0.0325385489269053,0.376620175444247,0.918,0.0859335781900932,0.107988712862799
59,2,2,1,1,3,1,0,-0.00217174526178305,0.279272336642167,0.935,0.0583892727488929,0.0735381599194248
60,2,2,1,1,3,2,0,-0.0311933496647485,0.277757060855121,0.917,0.0636242346097698,0.0782393671125966
61,2,2,1,2,1,1,0.4,0.380906778361498,0.466748149642042,0.898,0.108607597735849,0.137676935593923
62,2,2,1,2,1,2,0.4,0.368599536360275,0.468275276669719,0.887,0.110520538126432,0.139207659720168
63,2,2,1,2,2,1,0.4,0.390244289372969,0.326524776712635,0.944,0.0674621016416693,0.0849518197763197
64,2,2,1,2,2,2,0.4,0.373838697349867,0.32733966792235,0.912,0.0726834310361988,0.092531271704941
65,2,2,1,2,3,1,0.4,0.394566734818236,0.237221588976493,0.942,0.0504760228636121,0.0635875776674038
66,2,2,1,2,3,2,0.4,0.379655163221388,0.239946915436609,0.925,0.0516847085961784,0.0650460830717436
67,2,2,1,3,1,1,0.72,0.695692682168095,0.270699748941388,0.872,0.0644658377311783,0.0840736008539008
68,2,2,1,3,1,2,0.72,0.698076395079103,0.265070617953732,0.896,0.0601870870460752,0.0774913600900576
69,2,2,1,3,2,1,0.72,0.710944527132472,0.178099671603437,0.937,0.0369316978759351,0.0469079801229475
70,2,2,1,3,2,2,0.72,0.708998221780365,0.175913786545806,0.928,0.037756150262193,0.0482012763152658
71,2,2,1,3,3,1,0.72,0.71543195910831,0.126441910473829,0.933,0.0266450681315831,0.0338986550481926
72,2,2,1,3,3,2,0.72,0.714366875829385,0.126463436733242,0.943,0.0259483593133005,0.0327482526016276
