"","simulation_setting_num","iter","MCCC","lower_bound","upper_bound","est_MCCC"
"71",54,71,0.717157287525381,0.634059337028747,0.697307451045217,0.6668827756375
"72",54,72,0.717157287525381,0.653163622908074,0.714210076992796,0.684886820710662
"73",54,73,0.717157287525381,0.661918716507802,0.715810432769433,0.689818948586715
"74",54,74,0.717157287525381,0.646961404561301,0.710456046825053,0.679981446249349
"75",54,75,0.717157287525381,0.635930734583601,0.710977812002947,0.675197744802203
"76",54,76,0.717157287525381,0.665875649628775,0.722342714644279,0.695180068288745
"77",54,77,0.717157287525381,0.674618423313062,0.733205011593682,0.705113028289148
"78",54,78,0.717157287525381,0.655307942199068,0.724320842206117,0.691388238697691
"79",54,79,0.717157287525381,0.664870734960422,0.73101995606322,0.699440256293518
"80",54,80,0.717157287525381,0.662367277888609,0.737843001817827,0.70207151042325
"81",54,81,0.717157287525381,0.625435841965183,0.704301584016136,0.666730959930605
